URL,Count
"https://local.adguard.org/","8"
"https://www.pietsmiet.de/assets/images/pietsmiet/icons/default-512.png","6"
"https://www.pietsmiet.de/assets/images/pietsmiet/icons/default-180.png","5"
"https://www.pietsmiet.de/dist/pietsmiet/css/app.893d80b96999fb596419.css","5"
"https://jubbie.de/","4"
"https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1/B%2BaLqXscFJTTpmaLg%2Bd4Jr5W%2BGTnN9B1iDkkVp6q27g%3D","4"
"https://www.pietsmiet.de/dist/pietsmiet/js/app.js","4"
"https://www.pietsmiet.de/assets/footer-background-dark.svg","3"
"https://www.pietsmiet.de/api/v1/modules","3"
"https://www.pietsmiet.de/api/v1/utility/autobahn","3"
"https://rsms.me/inter/inter.css","2"
"https://www.pietsmiet.de/dist/pietsmiet/manifest.json","2"
"https://rsms.me/inter/font-files/Inter-Regular.woff2","2"
"https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/205061013:1712208952:yzPufxLrUNfQFQKkstuWI1ojyxY3FvobPBohyKEjUZY/86ef0c9aacf61973/98f9eb9a0e7d2ca","2"
"https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1432635141:1712208668:s72MkL8lIkksarjQYF2gGhb_24Rl_E9r52JkQY9IhQo/86ef0c2dde6b1973/87610bbd8015634","2"
"https://www.pietsmiet.de/assets/footer-background.svg","2"
"https://rsms.me/inter/font-files/Inter-Medium.woff2","2"
"https://www.pietsmiet.de/assets/pietsmiet/placeholder-16-9.jpg","2"
"https://rsms.me/inter/font-files/Inter-SemiBold.woff2","2"
"https://www.pietsmiet.de/assets/pietsmiet/brand/icon.svg","2"
"https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_api/v1","2"
"https://cmp.inmobi.com/tcfv2/cmp2.js","2"
"https://cmp.inmobi.com/choice/BmUThfp2C9AKr/pietsmiet.de/choice.js","2"
"https://rsms.me/inter/font-files/Inter-Bold.woff2","2"
"https://lft1.pietcdn.de/dash/6f/2c/0e/,9c47dc325a96463678f83e182c496fc0,956c952686bee01d0602f05bd5460765,f5715f22ffee64599dbcd1fc09594616,1c0c2f351e996e26e752b36ec04b2aff,f677324e66820465d1428d53a7f572ba,bfda58408f95542e6bbf40d7fe4cd053,a5e507ed71193c2fee7c631fc97ca2aa,.mp4.us/f-4-f1-a1-x3.m4s","1"
"https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js","1"
